Название,Компания,Регион,Опыт работы,Зарплата от,Зарплата до,Валюта,Требования,Ключевые навыки,Ссылка
Аналитик (Мониторинг СМИ),INFOLine,Санкт-Петербург,Нет опыта,50000.0,70000.0,RUR,"Быстрое чтение. Грамотная устная и письменная речь. Уверенный пользователь ПК, продвинутый пользователь MS office, Power Point, Telegram, Zoom и т...","Работа с большим объемом информации, Работа в команде, Поиск информации в интернет, MS PowerPoint, Аналитическое мышление, Планирование карьеры, Поисковые системы, Опытный пользователь ПК, Быстрое обучение, Сбор и анализ информации, Мониторинг упоминаемости компании в СМИ, Работа в условиях многозадачности, Аналитические навыки, Эффективность, Коммуникабельность, стрессоустойчивость, Анализ текущей ситуации, планировать и оптимально организовать рабочий процесс, Пользователь ПК, Умение работать в команде, Грамотная речь, Деловая переписка, Деловое общение, Деловая коммуникация, Организация мероприятий, Грамотность",https://hh.ru/vacancy/117609078
Ведущий аналитик цифровой трансформации,СПб ГКУ Управление информационных технологий и связи,Санкт-Петербург,Нет опыта,110000.0,,RUR,"Опыт управления проектами в ИТ-сфере. Вашими преимуществами будут: Высшее образование по направлениям ""Информатика и вычислительная техника""/ ""Прикладная информатика"", ""Информационные...","Управление проектами, Ведение переговоров, Информационные технологии, Цифровая трансформация, Аналитика, Product Management, Стремление к профессиональному росту, Умение работать в условиях многозадачности, Технические задания, З4 ГОСТ",https://hh.ru/vacancy/114306929
Мобильный аналитик,Broad Apps,Санкт-Петербург,От 1 года до 3 лет,130000.0,,RUR,"Опыт работы продуктовым <highlighttext>аналитиком</highlighttext> от 2 лет. Опыт работы в мобильном приложении. Знание SQL, понимание и умение использовать системы <highlighttext>аналитики</highlighttext>. ","Анализ данных, Работа с базами данных, Прогнозирование, Исследовательский анализ данных",https://hh.ru/vacancy/117204636
Маркетолог-аналитик (маркетинговый аналитик),ТД Север г. Москва,Санкт-Петербург,От 3 до 6 лет,130000.0,150000.0,RUR,"Глубокое знание и опыт работы с инструментами анализа данных (Excel, Google Analytics, UIS, Roistat, Power BI и др.). ","Маркетинговый анализ, Анализ эффективности маркетинговых кампаний, Автоматизация маркетинговых кампаний, Аналитические исследования, Интернет-маркетинг, MS Excel, Битрикс24, Roistat, Google Analytics, Power BI",https://hh.ru/vacancy/117252425
Аналитик продаж,ANCOR,Санкт-Петербург,От 3 до 6 лет,168000.0,,RUR,"Высшее образование. Опыт работы в компаниях потребительского рынка от 5 лет, опыт на аналогичных позициях от 3 лет. ",Не указаны,https://hh.ru/vacancy/113009343
Системный аналитик,Наследие Диджитл,Санкт-Петербург,От 3 до 6 лет,100000.0,180000.0,RUR,Опыт работы в должности системного <highlighttext>аналитика</highlighttext> от 3 лет. Опыт изменения и встраивания новых бизнес-процессов в существующие системы. ,Не указаны,https://hh.ru/vacancy/117107123
Аналитик 1С,СЛОЙ,Санкт-Петербург,От 1 года до 3 лет,150000.0,150000.0,RUR,"Работаем в двух основных направлениях: - Анализировать и документировать бизнес-процессы. Описывать, как взаимосвязаны наши системы, какие данные куда передаются, как...","1С, Анализ бизнес-процессов",https://hh.ru/vacancy/116794897
"Senior Business Analyst (Trading, Fintech)",Роботрейдер,Санкт-Петербург,Более 6 лет,300000.0,,RUR,"Опыт 5+ лет в роли бизнес-<highlighttext>аналитика</highlighttext> в IT, предпочтительно в продуктовых компаниях, работающих в финтех или трейдинге. ",Не указаны,https://hh.ru/vacancy/115451198
Консультант-аналитик 1С,Алгоритм Успеха,Санкт-Петербург,От 3 до 6 лет,100000.0,150000.0,RUR,"Знание хотя бы двух конфигураций 1С и предметной области: Бухгалтерия, ЗУП, УТ, ДО, Розница, КА, УНФ, ERP. ",Не указаны,https://hh.ru/vacancy/117408152
Аналитик-консультант 1С,Рексофт,Санкт-Петербург,От 3 до 6 лет,,350000.0,RUR,"Знание и понимание архитектуры и функциональные возможности 1С:ERP/1C:УХ одного или нескольких блоков: закупки, продажи, склад...","ERP, Аналитика, Методология, Автоматизация, 1С, 1С:ERP, 1С:ERPУХ, 1С:УХ",https://hh.ru/vacancy/117516080
