Название,Компания,Регион,Опыт работы,Зарплата от,Зарплата до,Валюта,Требования,Ключевые навыки,Ссылка
Системный аналитик,ГБУ Малый бизнес Москвы,Москва,От 1 года до 3 лет,129950.0,129950.0,RUR,Грамотная письменная и устная речь. Любопытство и внимательность к деталям. Навыки конспектирования и фиксации обещаний при интервьюировании. Навыки декомпозиции задач...,Не указаны,https://hh.ru/vacancy/117414415
Аналитик (Служба ФСО и фармакопейных исследований),ФГБУ НЦЭСМП Минздрава России,Москва,От 1 года до 3 лет,96000.0,,RUR,Высшее образование (фармацевтическое). Знание действующих нормативных правовых актов России в сфере обращения лекарственных средств и при аптечном производстве. ,"Фармацевтическая химия, Лекарственные препараты, Научные исследования, Лабораторная работа, Уверенный пользователь ПК, Аналитические исследования, Фармакология, Спектрофотометрия, ТСХ (тонкослойная хроматография), ФСО, Аттестация ФСО, Государственная фармакопея, Европейская фармакопея, Фармакопейные стандартные образцы",https://hh.ru/vacancy/117674358
Ведущий финансовый аналитик/Финансовый директор в ресторанную группу,FOLK TEAM,Москва,От 3 до 6 лет,230000.0,260000.0,RUR,"Успешный опыт работы в аналогичной должности или с аналогичным функционалом последние 3 года ОБЯЗАТЕЛЕН!!! - Опыт в сфере Horeca, Retail, производство. - ","Финансовая отчетность, Финансовый контроль, Финансовый аудит, Финансовый анализ, Финансовое планирование, Отчет о финансовых результатах, Финансовые показатели, Финансовый менеджмент, Основы финансового менеджмента, Финансовое право, Экономический анализ, Формирование аналитической отчетности, Финансовая стратегия, Налоговое планирование, Управление денежными средствами, Управление налоговыми рисками, Управленческая отчетность, Бюджетирование, Планирование бюджета, Планирование затрат, Управление бухгалтерией, Контроль бюджета, Контроль эффективного использования материальных, финансовых, технических и трудовых ресурсов, Оптимизация налогообложения, Оптимизация затрат, Стратегия управления рисками, Финансовое моделирование, Стратегический анализ внешней среды, Управление рисками, Управление затратами",https://hh.ru/vacancy/117702664
Аналитик данных,REV Ritter,Москва,Нет опыта,,100000.0,RUR,Релевантный опыт работы от полугода. Образование: неоконченное высшее / высшее. Технические навыки: 1) SQL (уровень Junior). 2) Python (уровень Junior). ,"SQL, Python, Power BI, DataLens, REST API, ETL",https://hh.ru/vacancy/115415214
Аналитик,РУМАТИКА,Москва,От 3 до 6 лет,100000.0,120000.0,RUR,Отличное знание Excel и Google Таблиц. Опыт работы с системами веб-<highlighttext>аналитики</highlighttext>. Знание английского языка на уровне не ниже Intermediate. ,Не указаны,https://hh.ru/vacancy/116857272
Аналитик ВЭД,Наймиум,Москва,От 3 до 6 лет,150000.0,,RUR,"Имеешь опыт работы на должности <highlighttext>аналитика</highlighttext> от 3 лет. Умеешь работать с электронным каталогом автозапчастей, разбираешься в номенклатуре. ","Работа с большим объемом информации, ВЭД, Ведение отчётности, Аналитическое мышление, Деловая переписка, Мониторинг рынка, Мониторинг рынка труда, Мониторинг цен, Формирование ассортимента, Ценообразование, Анализ конкурентной среды, Мониторинг трендов, Управление ассортиментом, Прогнозирование продаж",https://hh.ru/vacancy/117775530
Финансовый аналитик,ЭкоЦентр,Москва,От 3 до 6 лет,300000.0,,RUR,"Подтвержденный релевантный опыт - не менее 3 лет работы в финансовых подразделениях крупных развивающихся компаний, холдинговых структур в сфере ЖКХ, в...","Финансовый анализ, Системный подход, Аналитическое мышление, 1С, Деловая коммуникация, MS PowerPoint, Анализ инвестиционных проектов",https://hh.ru/vacancy/117125194
Младший финансовый аналитик / Стажер / Junior analyst / intern at investment company,Аполлакс менеджмент,Москва,Нет опыта,60000.0,85000.0,RUR,An interest in and commitment to pursuing a career in investment management. High GPA from TOP-tier university in economics...,"Анализ инвестиционных проектов, Инвестиции, Взаимодействие с инвестиционными фондами, Инвестиционный анализ, Инвестиционный консалтинг, MS Excel",https://hh.ru/vacancy/117474975
Аналитик данных / Data analyst,"Красное & Белое, розничная сеть",Москва,От 1 года до 3 лет,200000.0,,RUR,"Опыт обработки данных от 2-х лет. Обработка данных в Excel с использованием Power Query, Power Pivot (DAX), VBA. ","Power BI, Power Query, Power Pivot, DAX, VBA, Clickhouse, SQL, Python",https://hh.ru/vacancy/117198552
Финансовый менеджер/Финансовый аналитик (e-commerce),Дизайн Лидер,Москва,От 3 до 6 лет,150000.0,,RUR,"Опыт работы финансовым менеджером / бухгалтером от 5 лет. Опыт работы в e-commerce (Wildberries, Ozon, маркетплейсы) — обязательно. Глубокое понимание финансовых...",Не указаны,https://hh.ru/vacancy/117522886
Менеджер аналитик по поиску товара на озон,Канюкова Наталья Владимировна,Москва,От 1 года до 3 лет,30000.0,180000.0,RUR,Опыт в данной сфере от 6 месяцев.,Не указаны,https://hh.ru/vacancy/115416331
Финансовый аналитик,Нефтегазпоставка,Москва,Более 6 лет,150000.0,,RUR,"Высшее экономическое/финансовое образование. Опыт работы в области управленческого учета, финансового анализа и бюджетирования от 6 лет. Опыт работы с...",Не указаны,https://hh.ru/vacancy/117512068
Операционный аналитик,ЗИТРЕК РУС,Москва,От 1 года до 3 лет,150000.0,,RUR,"Высшее профильное образование (экономический / технический ВУЗ). Опыт расчета, анализа себестоимости в торговых компаниях от 2-х лет. Опыт разработки готовых...","Работа с большим объемом информации, MS Excel, Расчет себестоимости, Расчет затрат, Составление отчетов, Формирование аналитической отчетности, Ценообразование, Экономика",https://hh.ru/vacancy/117565940
Аналитик системы расчета премиальной оплаты труда,Группа компаний МЕДСИ,Москва,От 1 года до 3 лет,190000.0,,RUR,"Продвинутый уровень владения, Excel, работа с большими объемами расчетных данных. Системное мышление и аналитический склад ума, Умение разобраться в предметной...",Не указаны,https://hh.ru/vacancy/117661356
Аналитик данных (BI),Finstar Financial Group,Москва,От 1 года до 3 лет,2500.0,,USD,Математическое/техническое высшее образование. Опыт работы <highlighttext>Аналитиком</highlighttext> от 2ух лет. Опыт с Power BI или иным BI инструментом. ,"SQL, Power BI, Python",https://hh.ru/vacancy/115691846
Аналитик (внедрение искусственного интеллекта),Транзит,Москва,От 1 года до 3 лет,300000.0,300000.0,RUR,Высшее образование. Опыт работы от 3 лет в должности системного <highlighttext>аналитика</highlighttext>. Успешный опыт реализации проектов с высокой организационной сложностью и...,"Системное мышление, Техническая грамотность, CASE, BPMN, UML, Моделирование бизнес-процессов, Agile, Scrum, Таск трекер",https://hh.ru/vacancy/117008927
Аналитик данных,Негосударственный пенсионный фонд ГАЗФОНД пенсионные накопления,Москва,От 3 до 6 лет,250000.0,,RUR,"Высшее образование. Опыт работы в аналогичной должности от 3х лет. Продвинутый пользователь SQL, MS Excel, BI. Аналитический склад ума.",Не указаны,https://hh.ru/vacancy/116882465
Маркетолог-аналитик,Элемент,Москва,Нет опыта,,150000.0,RUR,"Высшее образование (маркетинг, экономика, социология). Опыт работы от 3 лет в профильной области. Уверенный пользователь ПК (Miсrosoft Office). ","SWOT анализ, ABC-анализ, Pest-Анализ, MS PowerPoint",https://hh.ru/vacancy/117787720
Бизнес-аналитик (удалённо),Первый Бит,Москва,От 1 года до 3 лет,100000.0,170000.0,RUR,"Любовь к математике, аналитический склад мышления, хорошая коммуникация. Опыт описания бизнес-процессов в разных нотациях (EPC/BPMN/IDEF, обычные блок...","Бизнес-анализ, BPMN, Оптимизация бизнес-процессов, Аналитическое мышление, EPC",https://hh.ru/vacancy/112757205
Full-stack аналитик,ABCP,Москва,От 1 года до 3 лет,250000.0,,RUR,Опыт работы в качестве системного <highlighttext>аналитика</highlighttext> не менее 1 года. Знание архитектурных подходов для проектирования высоконагруженных автоматизированных систем. ,"Коммуникабельность, Английский язык, Ответственность, Внимательность, Аналитический склад ума",https://hh.ru/vacancy/110786349
Автор юридических текстов / Младший юрист-аналитик,Иванов Дмитрий Сергеевич,Москва,Нет опыта,,40000.0,RUR,"Высшее образование по юридической специальности или обучение на выпускных курсах юридического факультета. Хорошие знания гражданского права, теории государства и права...","Научные исследования, Авторское право, Уголовное право, Анализ текстовой информации, Международное право, Экологическое право, Юридический английский, Минимизация правовых рисков, Семейное право, Корпоративное право, Цифровое право, СПС Гарант, Мониторинг законодательства, Сбор требований, Арбитражный процесс, Рекламное право",https://hh.ru/vacancy/116975161
Финансовый аналитик,Мединвестгрупп,Москва,От 1 года до 3 лет,170000.0,,RUR,"Высшее образование(Экономика, Финансы, Техническое). Excel продвинутый (сводные таблицы с вычисляемыми полями, вложенные формулы, массивы; макросы - как преимущество); 1С. ",Не указаны,https://hh.ru/vacancy/115599596
Системный аналитик,Компас,Москва,От 1 года до 3 лет,130000.0,200000.0,RUR,"Опыт сбора, анализа и уточнения требований к разработке ПО. Понимание SDLC. Опыт проектирования UI. Уверенный пользователь Microsoft Office (или аналогов). ","Аналитическое мышление, REST API, SQL, MS Office, Swagger, Atlassian Jira, Atlassian Confluence, Управление требованиями",https://hh.ru/vacancy/116814360
Ведущий аналитик 1С,ZOLLA,Москва,От 3 до 6 лет,300000.0,,RUR,Опыт работы на аналогичной позиции от 5-ти лет (в сфере retail - желательно). Опыт работы с подсортировкой товаров в УТ...,Не указаны,https://hh.ru/vacancy/117256644
Системный аналитик,Digital Zone,Москва,От 3 до 6 лет,230000.0,,RUR,"Опыт работы в проектах финтех, банк. Опыт работы системным <highlighttext>аналитиком</highlighttext> от 3 лет. Опыт разработки технической документации. Владение SQL на...","BPMN, UML, Системный анализ, Анализ требований",https://hh.ru/vacancy/117434288
Аналитик бизнес-процессов,Особое Конструкторское Подразделение «АРС»,Москва,От 1 года до 3 лет,150000.0,,RUR,"Аналитический склад ума. Коммуникабельность. Самодисциплина, целеустремлённость. Опыт работы бизнес-<highlighttext>аналитиком</highlighttext> в процессном офисе – от 2 лет, желательно в производственных компаниях...",Не указаны,https://hh.ru/vacancy/117559772
Веб-аналитик,Перелыгин Сергей Анатольевич,Москва,От 1 года до 3 лет,100000.0,,RUR,"Опыт работы в веб-<highlighttext>аналитике</highlighttext> от 1 года. Знание инструментов веб-<highlighttext>аналитики</highlighttext> (Google Analytics, Power BI, Google Tag Manager). ","Google Analytics, Power BI",https://hh.ru/vacancy/117636802
Менеджер-аналитик по продвижению на Wildberries,Eberron (ИП Овчинников Данил Романович),Москва,От 1 года до 3 лет,90000.0,180000.0,RUR,"Кейсы: обязательно наличие как успешных, так и неуспешных проектов с возможностью проверки (прикрепить ссылки на товары/магазины). <highlighttext>Аналитика</highlighttext>: Привычка оцифровывать...","Работа с большим объемом информации, MS Excel, Работа в команде, Аналитика маркетплейсов, Инструменты маркетплейсов",https://hh.ru/vacancy/117796344
Системный аналитик,МТС,Москва,От 3 до 6 лет,250000.0,,RUR,"Опыт интервьюирования заказчика, описание требований в форматах Use Cases и User Stories. Опыт проектирования БД. SQL на уровне написания запросов. ","Atlassian Jira, Системный анализ, UML, Анализ данных",https://hh.ru/vacancy/90648349
Стажер Департамента аналитики (направление финансы),Галс-Девелопмент,Москва,Нет опыта,20000.0,40000.0,RUR,Образование финансовое / экономическое / техническое. Степень бакалавра / магистра или старшие курсы магистратуры. Понимание принципов построения DCF моделей. Excel – продвинутый пользователь (культура...,"Финансовое моделирование, MS PowerPoint, Анализ инвестиционных проектов, MS Excel",https://hh.ru/vacancy/117803333
Руководитель отдела аналитики в фармацевтическую компанию,StaffRecruitment,Москва,Более 6 лет,500000.0,,RUR,Опыт работы в аналитических позициях в фармацевтической или смежной отрасли не менее 5 лет. Лидерские качества и опыт управления командой. ,"Аналитическое мышление, Умение работать с большими данными, Организационные навыки, Управление проектами, Стратегия анализа, Командное взаимодействие, Принятие решений на основе данных",https://hh.ru/vacancy/116386149
Аналитик маркетплейсов,Ермолаев Владислав Александрович,Москва,От 1 года до 3 лет,80000.0,140000.0,RUR,"Опыт <highlighttext>аналитики</highlighttext> маркетплейсов: анализ ниш, расчет UNIT-экономики и логистики. Реальные кейсы по поиску товаров и выводу на маркетплейсы с...",Не указаны,https://hh.ru/vacancy/117786134
Бизнес аналитик,Finstar Financial Group,Москва,От 1 года до 3 лет,150000.0,150000.0,RUR,Сбор и анализ требований. Построение схем процессов (жестких требований к нотациям нет). Базовые знания SQL (на уровне выполнения небольших выборок...,"MS SQL, Pl/Python",https://hh.ru/vacancy/117514542
Системный аналитик («Safe Data»),Data World,Москва,От 3 до 6 лет,190000.0,220000.0,RUR,Какие навыки/опыт понадобятся: - Опыт работы системным <highlighttext>аналитиком</highlighttext> не менее 2-х лет. - Навыки создания аналитической и технической документации. - ,"SQL, Системный анализ, Постановка задач разработчикам, UML, BPMN, Atlassian Jira, Анализ требований, Системная интеграция, REST",https://hh.ru/vacancy/117603487
Аналитик данных,СБЕР,Москва,От 1 года до 3 лет,164000.0,205000.0,RUR,"Владение Python (pandas, numpy, spark, matplot, seaborn). Знание основ <highlighttext>аналитики</highlighttext> и отчетности, понимание принципов построения хранилищ данных и работы BI...",Не указаны,https://hh.ru/vacancy/116754764
Security Researcher / Malware Analyst,Labs System,Москва,От 3 до 6 лет,350000.0,,RUR,"Знание языков программирования C/C++. - Опыт анализа вредоносных файлов и уязвимостей. - Навыки реверс-инжиниринга, знание Assembler, уверенное владение инструментами (**IDA...",Не указаны,https://hh.ru/vacancy/117583068
Системный аналитик,Комс,Москва,От 3 до 6 лет,180000.0,,RUR,Опыт работы в IT (в вендоре/в интеграторе) системным <highlighttext>аналитиком</highlighttext> от 2-х лет. Опыт сдачи государственным заказчикам проектной документации...,Не указаны,https://hh.ru/vacancy/117346893
Аналитик 1С,ВИВАТ ИНТЕЛЛЕКТ,Москва,От 1 года до 3 лет,120000.0,,RUR,"Опыт работы в должности <highlighttext>аналитика</highlighttext>, бухгалтера, системного <highlighttext>аналитика</highlighttext>. Практический опыт постановки задач программистам 1С. Нацеленность на результат. ","1С: Зарплата и управление персоналом, 1С: Бухгалтерия, 1С: Предприятие 8, Разработка технических заданий, Бизнес-анализ, Сбор и анализ информации, Работа в команде, Консультирование клиентов, Обучение клиентов, Тестирование ПО, ERP, 1С: Управление Торговлей, Функциональное моделирование, ERP-системы на базе 1С, Автоматизация бизнес-процессов, Моделирование бизнес-процессов, Описание бизнес-процессов, Аналитическое мышление, Системный анализ",https://hh.ru/vacancy/117691823
Бизнес-аналитик,ГК TFN,Москва,От 1 года до 3 лет,,200000.0,RUR,"Понимание основных принципов бюджетирования, казначейства, бухгалтерского и налогового учета. Опыт работы бизнес-<highlighttext>аналитиком</highlighttext> от 2 лет. Высшее техническое или экономическое...",Не указаны,https://hh.ru/vacancy/116510902
Системный аналитик CRM,Техноинтеллект,Москва,От 3 до 6 лет,150000.0,220000.0,RUR,Опыт работы на позициях Консультант/<highlighttext>аналитик</highlighttext> CRM от 2 лет. Умение и готовность взаимодействовать с Заказчиком. Наличие в портфолио завершённых...,"CRM, Системное мышление, Разработка технических заданий, Сбор и анализ информации, SQL, Описание бизнес-процессов, BPMN, Amber, Системный аналитик CRM, Agile, JSON API, Draw.io, Big Data, Git, Разработка пользовательской документации, Моделирование бизнес-процессов, Анализ требований, Постановка задач разработчикам, API, Atlassian Confluence, User Story, Анализ рисков, PostgreSQL, SOA, Разработка бизнес-требований, Системный анализ, Use case",https://hh.ru/vacancy/116814362
Аналитик DWH,Дата Дженерейшн,Москва,От 1 года до 3 лет,,250000.0,RUR,"Мы ищем командного игрока с хорошим знанием SQL и опытом работы с GreenPlum, или Oracle. Опыт работы с Data Vault...",Не указаны,https://hh.ru/vacancy/117562635
Маркетолог-аналитик / Менеджер по развитию маркетплейсов / Специалист по маркетплейсам,ТК ТЗС,Москва,От 1 года до 3 лет,100000.0,,RUR,Опыт успешной работы по <highlighttext>аналитике</highlighttext> и продвижению товаров на маркетплейсах. - Опыт высоких продаж на маркетплейсах. - Опыт работы с платными аналитическими...,"Анализ карточек, Маркетинговые исследования, Маркетинговый анализ, Аналитические исследования, Креативность, Конкурентная аналитика, Поиск информации в интернет, Аналитическое мышление, Подбор ключевых слов, Маркетплейсы, Развитие продаж",https://hh.ru/vacancy/117803215
Ассистент аналитика,РБК,Москва,От 1 года до 3 лет,46000.0,,RUR,"Хорошее владение MS Office. Знания и навыки анализа данных и их визуализации. Коммуникабельность, вежливость.",Не указаны,https://hh.ru/vacancy/117043904
Аналитик (investment & finance),Multi Family Office,Москва,От 1 года до 3 лет,200000.0,,RUR,Опыт работы в финансовой сфере от 2 лет: Глубокие знания экономики и финансов. Законченное Высшее экономическое образование (преимущество - топовые ВУЗы...,"Анализ инвестиционных проектов, Экономический анализ, Финансовая отчетность, Инвестиции, Due Diligence, Финансы",https://hh.ru/vacancy/116905284
Ведущий менеджер по маркетплейсу OZON \ Аналитик OZON,FUTULA STORE,Москва,От 1 года до 3 лет,,250000.0,RUR,"Требования: - Опыт работы на маркетплейсе Ozon от 1 года. - Опыт работы с расширенной <highlighttext>аналитикой</highlighttext> внутренней рекламы маркетплейса (прогнозирование, результаты, корректировка). - ",Не указаны,https://hh.ru/vacancy/115235962
Аналитик данных в команду развития продаж,ANCOR,Москва,От 1 года до 3 лет,,300000.0,RUR,"Математическое или техническое образование (желательно). Уверенное владение SQL, Python и Excel. Опыт использования мат. методов и статистики в решении задач. ",Не указаны,https://hh.ru/vacancy/116077374
Аналитик данных (DWH),Бизнес-Азимут,Москва,От 3 до 6 лет,300000.0,400000.0,RUR,Опыт участия в проектах по созданию и развитию DWH. Опыт участия в проектах по созданию и развитию Data Vault. ,"Моделирование бизнес процессов, SQL, Spark, Apache Hive, SAS",https://hh.ru/vacancy/117526014
Аналитик,ГБУ Городской ресурсный центр поддержки семьи и детства Отрадное,Москва,Нет опыта,70000.0,,RUR,"Высшее профессиональное образование без предъявления требований к стажу работы. Уверенное владение компьютером. Пользователь умеет решать проблемы, возникающие на компьютере, владеет...",Не указаны,https://hh.ru/vacancy/117686911
Аналитик данных,ФГБУ ДПО ВУНМЦ Минздрава России,Москва,От 1 года до 3 лет,80000.0,,RUR,"Высшее образование (медицинское, фармацевтическое, юридическое образование приветствуется). Свободное владение персональным компьютером, умение работать с электронными таблицами. Внимательность, ответственность, грамотность, пунктуальность.",Не указаны,https://hh.ru/vacancy/117250601
Старший кредитный аналитик малого бизнеса,СБЕР,Москва,От 1 года до 3 лет,170000.0,,RUR,"Высшее образование (математическое, экономическое/финансовое). Опыт работы в кредитовании корпоративных клиентов, андеррайтинга, аудита или консалтинга корпоративных клиентов от 1-го...",Не указаны,https://hh.ru/vacancy/117740938
Аналитик данных (Data Analyst)/Проектный менеджер,Томору,Москва,От 1 года до 3 лет,,150000.0,RUR,"...системы (Амо, Битрикс, S2) и умеешь выгружать оттуда данные. Уже сам исследуешь GPT и AI-инструменты для автоматизации <highlighttext>аналитики</highlighttext>.","DataLens, MS Excel, CRM, Аналитическое мышление, Визуализация данных, Когортный анализ",https://hh.ru/vacancy/116844399
Аналитик 1С: ЗУП,Вератис,Москва,От 1 года до 3 лет,200000.0,320000.0,RUR,Порядок работы: Удаленно. - Работать с конфигурациями: ЗУП 3.1. Опыт с конфигурациями 1С Охрана Труда и 1С Учебный...,"1С Охрана Труда, 1С Учебный Центр, 1С: Зарплата и управление персоналом, SAP",https://hh.ru/vacancy/117800240
Аналитик-стажер,Nestle,Москва,Нет опыта,,54600.0,RUR,"...режиме многозадачности, обладаешь аналитическим мышлением и хочешь развиваться в сфере <highlighttext>аналитики</highlighttext>. Профильное высшее или неоконченное высшее образование (экономика, менеджмент, торговое...","Деловая переписка, Подготовка презентаций, Деловое общение, Excel, Знание MS Office, Аналитический склад ума",https://hh.ru/vacancy/115333671
Консультант-аналитик 1С,GITS,Москва,От 1 года до 3 лет,100000.0,150000.0,RUR,"Опыт внедрения конфигураций 1С БП, КА, ERP на производственных предприятиях. Углубленные знания и специализация в одной или нескольких прикладных...",Не указаны,https://hh.ru/vacancy/117688810
Аналитик маркетплейсов / Аналитик Wildberries / Fashion аналитик,Глотова Лидия Валерьевна,Москва,От 1 года до 3 лет,90000.0,,RUR,"<highlighttext>Аналитика</highlighttext> с опытом работы от 1,5 лет в нише одежда. - Специалиста с отличным знанием Мпстат, Ексель Вайлдбокс. - ","Fashion Trends, Исследовательский анализ данных, Анализ рынка, Ассортиментная матрица, Аналитическое мышление, Работа в команде, Планирование товарных запасов, Мониторинг рынка, План-факт анализ, Прогнозирование продаж, ABC-анализ",https://hh.ru/vacancy/117372849
Химик-аналитик,Экогринэксперт,Москва,От 1 года до 3 лет,98000.0,,RUR,"Наличие среднего профессионального или высшего образования (химическое, химико-технологическое). Опыт работы в аккредитованной лаборатории по ГОСТ ISO/IEC 17025-2019...","Опытный пользователь ПК, знание MS Office, Ответственность и пунктуальность",https://hh.ru/vacancy/116831065
Аналитик ревизор,Sunlight,Москва,От 1 года до 3 лет,,125000.0,RUR,"Знание Excell, 1С - опыт работы с базами и таблицами - уровень уверенного пользователя ( сводные таблицы, функции). Опыт проведение инвентаризаций. ","Базы данных, Аналитическое мышление, Анализ данных",https://hh.ru/vacancy/117496301
Финансовый менеджер/Экономист/Финансовый аналитик,KORRTO,Москва,От 3 до 6 лет,150000.0,180000.0,RUR,Высшее экономическое образование. Опыт релевантной работы от 3 лет. Опыт создания системы финансового планирования и учета. Опыт работы в производственной...,"Управленческая отчетность, Планирование бюджета, Планирование затрат, Финансовая отчетность, Бюджетирование, Оптимизация затрат",https://hh.ru/vacancy/116489179
BI-аналитик (Финансовый аналитик),Онлайн-школа Фоксфорд,Москва,От 1 года до 3 лет,,155000.0,RUR,"Отличное владение инструментами MS Excel (пользовательские функции, Power query, Power pivot),Google sheets). Опыт написания SQL-запросов (select, join, group...","SQL, Python, Metabase, DataLens, MS Excel",https://hh.ru/vacancy/116519853
Ассистент финансового аналитика,Логос Академия,Москва,От 1 года до 3 лет,50000.0,75000.0,RUR,Ответственность. Коммуникабельность. Опыт работы в Битрикс24. Базовые знания excel.,Битрикс24,https://hh.ru/vacancy/117443830
Младший бизнес-аналитик,Нью ривер,Москва,От 1 года до 3 лет,100000.0,,RUR,"Умение работать с цифрами, опираться на <highlighttext>аналитику</highlighttext>, и готовность нести ответственность за результаты своей работы. Амбиции, активная жизненная позиция и...","Системное мышление, Грамотность, Работа в команде, Обучение и развитие, Аналитический склад ума, MS SQL, Power BI, Системный анализ, Бизнес-анализ, Тайм-менеджмент, Эмпатия, Big Data, Критическое мышление, Классическое машинное обучение",https://hh.ru/vacancy/117062746
Аналитик SOC,Asfera HR Solutions,Москва,От 1 года до 3 лет,,150000.0,RUR,"Понимание принципов мониторинга безопасности, работы SIEM, <highlighttext>аналитики</highlighttext> событий и реагирования на инциденты. Понимание основ работы межсетевых экранов, прокси-серверов, антивирусов. ","Информационная безопасность, Выявление каналов утечки информации",https://hh.ru/vacancy/117563286
Менеджер аналитик по поиску товара на озон,Канюкова Наталья Владимировна,Москва,Нет опыта,20000.0,80000.0,RUR,"Всему можем обучить,важна Ваша заинтересованность. -уверенный пользователь excel. -аналитический склад ума.",Не указаны,https://hh.ru/vacancy/117646677
Старший финансовый аналитик / финансовый менеджер,RecruitTech,Москва,От 1 года до 3 лет,130000.0,200000.0,RUR,"Опыт работы по данной должности не менее 1,5 лет. Опыт работы в 1С КА. Опыт создания и ведения...","1С, Управленческая отчетность, Финансовая отчетность, 1С: Предприятие 8",https://hh.ru/vacancy/117209801
Бизнес-аналитик в международный start up,Технологии медицинского туризма,Москва,От 3 до 6 лет,200000.0,,RUR,"Опыт работы 3-5 лет в стратегическом консалтинге, бизнес-<highlighttext>аналитике</highlighttext> или управлении цифровыми продуктами. Глубокое понимание бизнес-моделей и опыт...","Английский язык, MS PowerPoint, MS Project, Бизнес-анализ, Аналитическое мышление, Анализ бизнес-процессов, Системный анализ, Автоматизация бизнес-процессов, Моделирование бизнес-процессов, Оптимизация бизнес-процессов, MS Excel",https://hh.ru/vacancy/116847168
"Категорийный менеджер, аналитик",Октагон,Москва,От 1 года до 3 лет,120000.0,,RUR,"Продвинутые знания Excel и программ <highlighttext>аналитики</highlighttext>. Внимательность, высокий уровень ответственности и самостоятельности.","Закупки, Управление закупками, Категорийный менеджмент, Планирование закупок, Оптимизация закупок, Мониторинг рынка, Аналитическое мышление",https://hh.ru/vacancy/115721731
Финансовый аналитик,RecruitTech,Москва,От 1 года до 3 лет,90000.0,140000.0,RUR,Опыт работы на данной должности не менее 1 года. Опыт ведения управленческой отчётности. Опыт работы в 1С будет преимуществом. ,"Управленческая отчетность, Бюджетирование, Финансовая отчетность",https://hh.ru/vacancy/117642818
Аналитик (стажер) по производственному планированию,Мясницкий ряд,Москва,Нет опыта,60000.0,84000.0,RUR,"СТАРТ КАРЬЕРЫ (БЕЗ ОПЫТА) В СЛУЖБЕ УПРАВЛЕНИЯ ЦЕПЯМИ ПОСТАВОК: ОТДЕЛ ПЛАНИРОВАНИЯ, ОТДЕЛ ЗАКУПОК И ОТДЕЛ ЛОГИСТИКИ. Если ты учишься по...",Не указаны,https://hh.ru/vacancy/108254394
Аналитик-менеджер клиентской поддержки в чатах,MP Surf,Москва,От 1 года до 3 лет,40000.0,,RUR,"Знание Excel на уровне: ВПР сводные таблицы, СУММЕСЛИ, СУММЕСЛИМН. Знание google-таблиц как преимущество (googlesheets, query). Желание разбираться в причинах...","Ведение переговоров, Работа в команде, Деловая переписка, Работа с большим объемом информации, Деловое общение, Деловая коммуникация, Обучение персонала, Пользователь ПК, Грамотная речь, MS Excel, Клиентоориентированность, Гугл таблицы, Google sheets",https://hh.ru/vacancy/116710619
Системный аналитик (Middle),Kodix,Москва,От 3 до 6 лет,190000.0,,RUR,"Навыки сбора требований. Знания нотации UML. Опыт работы с интеграционными типами задач, опыт работы с REST API и/или SOAP. ","SOAP, REST API, UML, SQL, Системный анализ",https://hh.ru/vacancy/116858974
Диджитал аналитик,СЕРКОНС,Москва,От 1 года до 3 лет,250000.0,,RUR,Высшее образование техническое/экономическое. Опыт работы в B2B компании с и без электронной коммерцией с большим количеством услуг...,Не указаны,https://hh.ru/vacancy/117615280
Аналитик-редактор,Спектр,Москва,От 1 года до 3 лет,80000.0,110000.0,RUR,"Релевантный опыт работы на аналогичной позиции в СМИ, деловых изданиях, медиа, консалтинге или исследованиях — от года. В целом в журналистике...","Английский язык, Написание текстов, Написание статей, Рерайтинг, Сбор и анализ информации, Работа с большим объемом информации, Редактирование текстов, Журналистика, Редакторская деятельность",https://hh.ru/vacancy/115719293
Младший системный аналитик РЭА,Научно-производственное объединение дальней радиолокации имени академика А.Л. Минца,Москва,От 1 года до 3 лет,170000.0,,RUR,Высшее техническое образование (специалитет или магистратура). Знание основ цифровой схемотехники на уровне чтения и понимания электрических схем. Знание ЛВС (сетевые...,Не указаны,https://hh.ru/vacancy/116224638
